img_name,img_score
10blur.jpg,63.52214294433594
20blur.jpg,60.12514358520508
40blur.jpg,54.591028747558596
5blur.jpg,69.0933251953125
cat.jpg,72.88888763427734
S_BLUR1.png,71.22669586181641
S_BLUR1H240.png,63.72391311645508
S_BLUR1ronghe.png,68.65554962158203
S_BLUR2.png,68.72678894042969
S_BLUR3.png,60.266494293212894
S_BLUR4.png,45.90049957275391
S_BLUR5.png,40.42047637939453
T_01.jpg,74.59857940673828
T_02.jpg,66.23682189941407
T_03.jpg,30.21151008605957
T_04.jpg,20.047261962890627
T_05.jpg,48.10323455810547
T_06.jpg,72.88318420410157
T_07.jpg,35.97538970947266
